title,company,location,description,description_length
Restaurant Manager - Cameroun - Yaoundé,AFRICAWORK,International,"Nous recrutons pour l'un de nos clients, un restaurant Lounge, un(e)  Restaurant Manager. Position basée à Yaoundé - Cameroun Responsabilités: Rattaché(e) à la direction générale, vous serez en charge de: Gestion opérationnelle quotidienne; Gestion Financière; Gestion du personnel; Gestion des stocks; Gestion du Marketing et développement commercial; Expérience client et image de marque;",390
Conducteur de Travaux Senior – Gros Œuvre et Second Œuvre - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un Conducteur de Travaux Senior – Gros Œuvre et Second Œuvre dans le secteur BTP – Construction Missions principales : Planifier, coordonner et superviser l’exécution des travaux de gros œuvre et second œuvre sur les chantiers. Assurer la conformité des travaux aux plans, cahiers des charges et normes techniques. Gérer les équipes de chantier, sous-traitants et fournisseurs pour garantir le respect des délais et budgets. Contrôler la qualité des matériaux et travaux réalisés et assurer la sécurité sur le chantier. Suivre les indicateurs de performance (délais, coûts, qualité) et proposer des actions correctives. Préparer et transmettre...",706
Chargé de Portefeuille - Oued Amlil,FONDATION ARRAWAJ,Fès & Oujda,"Fondation ARRAWAJ, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.Dans le cadre de son développement, la fondation ARRAWAJ recrute des  Chargés de Portefeuille H/F  au niveau de nos agences à Oued amlil  . Missions : En tant que «  Chargé de Portefeuille  », vous aurez pour principales missions :  Gérer et développer le portefeuille client Faire des prospections de nouveaux clients Mettre en avant nos produits et nos services auprès des clients potentiels Accompagner et conseiller les clients...",650
Chauffeur Camion Poids Lourds - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un Chauffeur Camion Poids Lourds dans le secteur du transport. Missions principales : Conduire des camions poids lourds en respectant les itinéraires et les horaires prévus. Assurer le transport sécurisé des matériaux et marchandises vers les chantiers ou clients. Veiller à la sécurité du chargement et au respect des normes de transport. Effectuer l’entretien quotidien du camion (niveaux, pneus, vérifications mécaniques de base). Signaler tout incident, panne ou problème rencontré pendant le transport. Respecter les règles de sécurité routière et les procédures internes de l’entreprise.",653
Conducteur de Machine Offset - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un Conducteur de Machine Offset dans le secteur Imprimerie / Industrie graphique Missions principales : Assurer la conduite et le réglage des machines offset pour l’impression de documents, emballages ou supports divers. Préparer les supports, encres et plaques nécessaires pour chaque production. Contrôler la qualité de l’impression et ajuster les paramètres pour garantir la conformité aux standards. Effectuer l’entretien de première ligne et le nettoyage des machines selon les procédures.  Signaler tout dysfonctionnement ou panne à l’équipe technique ou maintenance. Respecter les normes de sécurité et les procédures internes...",696
Responsable Finance et Comptabilité - Kénitra,TK BETON,Rabat-Salé-Kénitra,"Nous sommes un groupe industriel basé dans la région de kenitra nous recrutons un Responsable Financier Groupe pour rejoindre notre équipe et accompagner notre développement. Missions principales : En tant que Responsable Financier, vous serez un acteur clé dans la gestion financière du groupe. Vos principales missions seront les suivantes : Superviser l'ensemble des fonctions financières : comptabilité, trésorerie, contrôle de gestion, fiscalité, etc. Élaborer, mettre en place et suivre les budgets et les prévisions financières. Analyser les résultats financiers et fournir des recommandations à la direction générale pour soutenir la prise de décisions stratégiques. Assurer la gestion de la trésorerie et...",716
Conducteur de Machine Offset - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un Conducteur de Machine Offset dans le secteur Imprimerie / Industrie graphique Missions principales : Assurer la conduite et le réglage des machines offset pour l’impression de documents, emballages ou supports divers. Préparer les supports, encres et plaques nécessaires pour chaque production. Contrôler la qualité de l’impression et ajuster les paramètres pour garantir la conformité aux standards. Effectuer l’entretien de première ligne et le nettoyage des machines selon les procédures. Signaler tout dysfonctionnement ou panne à l’équipe technique ou maintenance. Respecter les normes de sécurité et les procédures internes de l...",700
Ingénieur en Génie Électrique – Bureau d’Études Techniques - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un (e) Ingénieur en Génie Électrique – Bureau d’Études Techniques dans le secteur BTP / Ingénierie. Missions principales : Réaliser des études techniques détaillées (APS, APD, EXE) en génie électrique, avec un positionnement clair dans un BET. Maîtriser les normes obligatoires : NF C 15-100, IEC 60364, normes incendie, adaptées aux projets de bâtiments, hôpitaux, data centers et industries. Utiliser de manière indispensable les logiciels BET : Caneco BT, Caneco EP, Dialux, Relux, Autocad, Revit, Excel/MEP. Produire des notes de calcul rigoureuses : bilans de puissance, courants de court-circuit, dimensionnement des câbles et disjoncteurs....",709
Technicien Laboratoire - Casablanca,COLORADO,Casablanca-Mohammedia,"Dans le cadre de son projet de développement dédié aux procédés de polymérisation, COLORADO recrute des Techniciens Laboratoire sur son site industriel de Dar Bouazza. Missions du poste : Réaliser les analyses physico-chimiques sur matières premières, produits en cours et produits finis Effectuer les contrôles liés aux procédés de polymérisation (indices, viscosité, conversion, granulométrie, etc.) Préparer les échantillons et les réactifs Interpréter, enregistrer et valider les résultats d’analyses Assurer la traçabilité des essais",538
Responsable Approvisionnement - Casablanca,COLORADO,Casablanca-Mohammedia,"Nous recrutons un Responsable Approvisionnement pour le compte de notre société rattaché à notre direction pôle industriel. Missions principales : Élaborer et mettre en œuvre la stratégie d’approvisionnement Planifier et assurer la disponibilité des matières premières, produits et consommables Optimiser les niveaux de stock et réduire les coûts d’approvisionnement",366
Quality Technician - Sala Al Jadida - Parc Technopolis Rabat,LEAR AUTOMOTIVE MOROCCO,Casablanca-Mohammedia - Fès - Meknès - Rabat-Salé-Kénitra - Settat...,"a { text-decoration: none; color: #464feb; } tr th, tr td { border: 1px solid #e6e6e6; } tr th { background-color: #f5f5f5; } Nous sommes à la recherche d'un  Quality Technician. Missions : Mise à jour des indicateurs qualité hebdomadaires. Suivi des défauts litigieux et des problèmes qualité. Participation ou pilotage des actions d’amélioration. Audits des processus de réalisation du produit. Suivi quotidien des défauts et analyse des récurrences. Gestion et résolution des problèmes qualité internes. Certification et formation des opérateurs (autocontrôle, sensibilisation qualité). Respect des standards 5S et des règles de sécurité. Autorité pour arrêter la...",669
Assistante Administrative et Commerciale - Casablanca,CALLIOPE,Casablanca-Mohammedia,"Nous sommes à la recherche des  Assistantes Administratives et Commerciales. Missions : Assurer le lien entre le Conseiller Pédagogique et les établissements scolaires (écoles, collèges, lycées). Contacter les établissements pour organiser les rendez-vous, ateliers et présentations pédagogiques. Préparer les supports, documents et échantillons nécessaires aux interventions du Conseiller Pédagogique. Recueillir les besoins des écoles et transmettre les informations pour un suivi précis et efficace. Assurer le suivi administratif : coordination des agendas, préparation de comptes-rendus, mise à jour des bases de données. Gérer les relances et maintenir une communication fluide avec les établissements...",710
Déclarant en Douane - Casablanca,,Casablanca-Mohammedia,"Nous recherchons un Déclarant en douane confirmé (5 à 10 ans d’expérience) pour rejoindre notre équipe logistique. Sous la responsabilité du Responsable Douane, vous assurerez la préparation et le dépôt des déclarations d’importation et d’exportation, tout en garantissant la stricte conformité réglementaire de nos opérations. Missions Principales Gestion Opérationnelle : Rédiger et transmettre les déclarations en douane via les plateformes dédiées. Tarification : Classer les marchandises selon la nomenclature douanière (codes HS) et calculer les droits et taxes applicables. Audit Documentaire : Vérifier la validité des documents commerciaux (factures, certificats d’origine, licences,...",695
Infirmier - Settat,TECTRA,Settat,"Nous sommes à la recherche des  Infirmiers. Missions : Assurer la gestion de l’infirmerie de l’usine, Veiller au bon état du matériel de l’infirmerie et de l’ambulance, Organiser les visites médicales annuelles et périodiques de l’ensemble du personnel, Dispenser les premiers soins au personnel, Intervenir en cas d’incident ou de malaise (premiers secours), Tenir les registres de distribution des médicaments, Assurer la tenue du registre des visites médicales, Gérer les dossiers médicaux de l’ensemble du personnel, Assurer la tenue des registres des soins et des accidents de travail (AT), Contrôler et enregistrer les dossiers d’assurance maladie, Assurer le...",668
Gestionnaire Senior Juridique et Conformité (H/F) - Casablanca,AFRICAWORK,Casablanca-Mohammedia,"Nous recrutons pour le compte de notre client, acteur majeur du secteur bancaire, un(e) Gestionnaire Senior Juridique et Conformité. Missions principales Gestion des risques Identifier, évaluer et assurer le suivi des risques liés à l’activité. Définir et piloter des plans d’actions correctifs et préventifs. Mettre en place des indicateurs de suivi des risques (KRI) et assurer un reporting régulier à la Direction. Conformité & juridique Assurer la conformité réglementaire avec les autorités marocaines et les standards internationaux, en coordination avec les différentes entités. Rédiger, analyser et valider les contrats, conventions et documents juridiques. Accompagner les équipes sur les...",700
Technicien Régleur en Injection - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Lieu : Meknès Organisation : Production continue – Horaires 3×8 Horaires : 06h00 – 14h00 14h00 – 22h00 22h00 – 06h00 Description du poste Dans le cadre de notre activité industrielle en production continue , nous recrutons un Technicien Régleur en Injection . Vous interviendrez directement sur les lignes de production et participerez activement à l’organisation et au bon déroulement des opérations tout en respectant les exigences qualité, sécurité et productivité . Vous serez un technicien opérationnel , impliqué sur le terrain et en lien direct avec le Responsable de Production . Missions principales Organiser et affecter les tâches au sein de l’...",658
Chef D’Équipe Plasturgie – Extrusion - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Dans le cadre de notre activité industrielle en production continue , nous recrutons un Chef d’Équipe Plasturgie – Extrusion . Rattaché au Responsable de Production , vous assurez l’organisation, le pilotage et la réalisation des opérations de production tout en encadrant votre équipe sur le terrain. Vous êtes un chef d’équipe opérationnel , impliqué directement dans la production. Missions principales Organiser et affecter les tâches au sein de l’équipe pendant le poste. Assurer la bonne réalisation de la production conformément aux exigences clients, aux standards qualité et sécurité . Intervenir directement sur les opérations de production : changements de série,...",677
Chef D’Atelier Injection Plastique - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous recrutons  SUR MEKNÈS - Chef d’Atelier Injection Plastique. Missions principales Pilotage de la production injection Maîtrise du process injection Qualité & performance Management des équipes Sécurité, hygiène et organisation Maintenance et équipements Responsabilités Performance globale de l’atelier injection Qualité et conformité des pièces produites Sécurité des personnes et des équipements Disponibilité des machines Niveau de compétence des équipes injection",471
Développeur Fullstack Web/Mobile - Marrakech,MTS SYSTEM,Casablanca-Mohammedia - Marrakech-Safi & Rabat-Salé-Kénitra,"Société à rayonnement international, implantée à Marrakech depuis 2006, spécialisée dans la distribution et le développement d’applications commerciales et monétiques, est à la recherche de  Développeurs Full Stack. Missions : Sous la direction d’un chef de projet, au sein d’une équipe de développeurs, vous participerez à la conception et au développement technique de nouvelles applications web et/ou mobile. Activités principales : Développement des applications : Rédiger les lignes de codes nécessaires à la création d’une application Appliquer les règles de navigation, créer des liens entre les pages Développer les interfaces Corriger et optimiser les fonctionnalités...",679
Chargé des Méthodes (en Maintenance Multi-technique) - Rabat,,Rabat-Salé-Kénitra,"Nous cherchons à recruter un Chargé des Méthodes pour appuyer les équipes opérationnelles dans la mise en place, le suivi et l'amélioration continue de contrats de maintenance multi-technique Missions Optimiser et améliorer les outils GMAO. Élaborer les gammes opératoires, plans de maintenance et méthodes d’intervention. Analyser les données de maintenance, suivre les indicateurs de performance (KPI) et produire les reportings d’activité. Proposer et mettre en œuvre des actions d’amélioration continue des processus de maintenance. Assurer la coordination entre les équipes techniques, les sous-traitants et les fournisseurs. Veiller à la conformité des interventions aux exigences QHSE et aux...",701
Chef de Produit (H/F) - Secteur de La Grande Distribution - Casablanca,MARJANE MARKET,Casablanca-Mohammedia,"Dans le cadre du renforcement de sa Direction Marketing, l’enseigne Marjane Market recrute au niveau de son siège basé à Casablanca un Chef de Produit (H/F) . Dans ce cadre vous serez pleinement impliqué (e) sur les missions suivantes : Élaborer et assurer la mise en place de plans et outils marketing visant la valorisation des produits, la satisfaction des besoins clients et l’accroissement du chiffre d’affaires. Harmoniser les pratiques des magasins Marjane Market via des outils marketing communs. Définir et assurer la mise en place des actions promotionnelles. Assurer une veille commerciale et promotionnelle sur le marché.",633
Account Manager - Casablanca,GROUPE MCE,Casablanca-Mohammedia,"Dans le cadre du développement de ses activités, notre client recrute un Account Manager Marketplace chargé d’accompagner et de développer un portefeuille de vendeurs (segment Long Tail) afin d’améliorer leur performance commerciale et leur contribution au chiffre d’affaires. Missions principales : Accompagner les vendeurs dans le développement de leur activité sur la marketplace. Déployer des plans de croissance personnalisés en fonction des objectifs et du potentiel de chaque vendeur. Analyser les performances commerciales et identifier les opportunités d’amélioration. Intégrer les vendeurs aux différentes campagnes promotionnelles. Résoudre les problématiques opérationnelles et commerciales...",705
Assistante Administrative et Community Manager (Dermo-Cosmétique) - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client, un établissement spécialisé dans le bien-être, le spa et la coiffure, une Assistante Administrative et Community Manager dynamique, organisée et créative. Missions principales : Assurer le volet administratif Assurer le volet Community Management Gérer et animer les réseaux sociaux (Instagram, Facebook, etc.) Créer du contenu attractif (photos, vidéos, stories, promotions) Répondre aux messages et commentaires des clients Mettre en place des campagnes promotionnelles et offres spéciales Suivre les performances (engagement, visibilité) et proposer des améliorations",617
Assistante Logistique Import - Casablanca,,Casablanca-Mohammedia,"Nous recrutons une Assistante Logistique Import pour renforcer notre équipe et assurer la gestion efficace de nos opérations d’importation. Rattaché(e) à la responsable import, vous aurez pour mission de garantir le bon déroulement des opérations d’import, depuis la constitution des dossiers jusqu’à la réception des marchandises, tout en veillant à la conformité réglementaire et à l’optimisation des coûts. Vos principales missions : Gérer les dossiers d’import (titres d’importation, licences, lettres de crédit, factures, etc.) Assurer la coordination avec les banques (SWIFT, opérations financières) Suivre les transitaires et optimiser les coûts et délais de transport Vérifier la...",690
Chargé(e) de Paie et Administration du Personnel - Casablanca,CALLIOPE,Casablanca-Mohammedia,"Nous recrutons un Chargé(e) de Paie et Administration du Personnel basé à Casablanca. Missions principales : Assurer la gestion administrative du personnel : contrats, attestations, dossiers du personnel et mises à jour. Gérer le processus de paie de A à Z : collecte des variables, préparation des bulletins de paie et déclarations sociales et fiscales. Suivre les congés, absences et arrêts maladie conformément à la législation du travail. Rédiger et mettre à jour les contrats de travail et documents administratifs. Assurer les déclarations sociales et les formalités administratives auprès des organismes concernés. Gérer les relations avec les organismes sociaux (CNSS, assurances, retraite, etc.)....",708
Conseiller(ère) Pédagogique - Tout Le Maroc,CALLIOPE,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Fès -...,"Vous êtes enseignant(e) ou issu(e) du milieu de l’éducation ? Mettez votre expertise au service d’un nouveau défi stimulant ! Rejoignez notre équipe et accompagnez les établissements scolaires dans le choix de ressources pédagogiques innovantes et adaptées à leurs besoins . Nous recrutons actuellement des Conseiller(ère)s Pédagogiques dans plusieurs régions du Maroc . Missions : Démarcher les établissements scolaires et présenter notre gamme de manuels et supports pédagogiques Conseiller et accompagner les enseignants dans le choix des ressources adaptées à leurs besoins Assurer le suivi, la fidélisation et l’organisation d’ateliers ou d’événements pédagogiques",669
Responsable Back-Office - Casablanca,CALLIOPE,Casablanca-Mohammedia,"Calliope est une entreprise spécialisée dans la distribution de programmes, méthodes et manuels pédagogiques, notamment dans le domaine des langues. Nous accompagnons les établissements scolaires et institutions éducatives avec des solutions pédagogiques de qualité. Dans le cadre de notre développement, nous recrutons un(e) Responsable Back-Office pour encadrer et piloter une équipe de conseillers pédagogiques. Rattaché(e) à la Direction, vous aurez pour principales responsabilités : Encadrer, animer et accompagner une équipe de conseillers pédagogiques Organiser et superviser l’activité du back-office Assurer le suivi des objectifs commerciaux et pédagogiques Mettre en place des outils de reporting et...",714
Coordinateur(trice) Examens Cambridge - Casablanca,CALLIOPE,Casablanca-Mohammedia,"Dans le cadre du renforcement de notre équipe, nous recrutons un(e) Coordinateur(trice) Examens Cambridge . Missions principales : Accompagner l’équipe dans la préparation, l’organisation et le bon déroulement des examens Cambridge Veiller au respect strict des procédures et normes liées à la gestion des examens Assurer le suivi de la réception des résultats et leur dispatching aux candidats Gérer les aspects administratifs liés aux examens Participer aux activités pédagogiques et contribuer à l’amélioration continue des processus Assurer la coordination avec les différentes parties prenantes (enseignants, candidats, administration",639
Coordinatrice Pédagogique Anglophone - Casablanca,CALLIOPE,Casablanca-Mohammedia,"Nous recherchons une Coordinatrice Pédagogique Anglophone pour rejoindre notre centre de formation. Missions : Assurer l’organisation et la coordination pédagogique : création des classes, inscriptions, planification des cours, gestion des salles, des enseignants et des supports pédagogiques. Gérer le suivi des cours et garantir le bon déroulement des formations. Être l’interlocutrice principale des participants et assurer un service client de qualité. Mettre à jour régulièrement la base de données clients. Assurer la réception et le traitement des appels téléphoniques.",576
Responsable Développement Commercial Anglophone - Casablanca,CALLIOPE,Casablanca-Mohammedia,"Vous êtes parfaitement bilingue anglais/français, passionné(e) par l’éducation internationale et doté(e) d’un excellent sens commercial ? Rejoignez notre structure pour piloter le développement d’un pôle dédié aux certifications en langue anglaise ! Nous sommes à la recherche d'un  Responsable Développement Commercial Anglophone. Missions : Gérer les relations avec les institutions partenaires et les établissements scolaires Définir et mettre en œuvre la stratégie commerciale pour le pôle des certifications linguistiques en anglais Identifier de nouveaux marchés, développer des partenariats avec des institutions éducatives ou professionnelles Gérer et coordonner l’ensemble des...",688
Assistante Administrative et Community Manager (Secteur scolaire) - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons, pour le compte de notre client basé sur l’autoroute d’Ain Aouda (à proximité de Rabat), une Assistante Administrative et Community Manager . Son rôle consiste à assurer la gestion administrative ainsi que le développement digital. Missions principales : Gestion du volet administratif Accueil physique et téléphonique des parents et visiteurs Gestion des dossiers administratifs des élèves (inscriptions, suivi, classement) Rédaction de courriers, comptes rendus et documents officiels Suivi des absences, retards et communication avec les parents Coordination avec l’équipe pédagogique et la direction Organisation des réunions et événements scolaires Gestion des réseaux sociaux de l...",704
Chef de Rang (Anglophone) - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un Chef de Rang (Anglophone) . Son rôle consiste à assurer un service en salle de haute qualité, garantir la satisfaction des clients et coordonner les opérations avec l’équipe du restaurant, tout en utilisant l’anglais comme langue principale de communication avec la clientèle internationale. Missions principales : Accueillir les clients avec professionnalisme et courtoisie Présenter les menus, conseiller et prendre les commandes en anglais Assurer le service des plats et des boissons selon les standards du restaurant Superviser et coordonner le travail des commis de salle et assistants serveurs Veiller à la propreté et à l’organisation de...",711
Comptable - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client, un cabinet d’avocat basé à Rabat, un(e) Comptable. Missions principales : Assurer la tenue de la comptabilité générale du cabinet Saisir, contrôler et classer les pièces comptables (factures, relevés bancaires, notes de frais…) Suivre les encaissements et décaissements (honoraires, paiements clients, charges…) Effectuer les rapprochements bancaires Préparer les déclarations fiscales (TVA, IS, IR…) en collaboration avec le cabinet externe si nécessaire Assurer le suivi de la trésorerie Participer à la préparation des bilans et situations comptables périodiques Veiller au respect des obligations légales et fiscales Mettre en place et...",689
Comptable – Fiduciaire Exigée - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client à Rabat, un(e) Comptable expérimenté(e), ayant travaillé en fiduciaire, maîtrisant parfaitement la comptabilité et la fiscalité marocaines, et en charge de la gestion comptable de l’entreprise. Missions principales : Assurer la tenue complète de la comptabilité (saisie, lettrage, classement) Établir les déclarations fiscales et sociales (TVA, IS, IR, CNSS) Réaliser les rapprochements bancaires et le suivi de trésorerie Préparer les situations comptables périodiques Participer à l’élaboration des bilans et liasses fiscales Veiller au respect des obligations légales et fiscales Gérer la relation avec les administrations (DGI, CNSS…)",684
